difference_variable,multiplier,multiplier unit,annual change,output_variable_name,output_display_name,sum,natural multiplier units,display_notes,internal_notes
totalvalue_enfu_fuel_consumed_scoe_fuel_hydrocarbon_gas_liquids,-500000,N/A,1,cb:enfu:fuel_cost:scoe:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids
totalvalue_enfu_fuel_consumed_scoe_fuel_hydrogen,-500000,N/A,1,cb:enfu:fuel_cost:scoe:hydrogen,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen
totalvalue_enfu_fuel_consumed_scoe_fuel_kerosene,-500000,N/A,1,cb:enfu:fuel_cost:scoe:kerosene,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene
totalvalue_enfu_fuel_consumed_scoe_fuel_natural_gas,-500000,N/A,1,cb:enfu:fuel_cost:scoe:natural_gas,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas
totalvalue_enfu_fuel_consumed_trns_fuel_biofuels,-500000,N/A,1,cb:enfu:fuel_cost:trns:biofuels,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,biofuels
totalvalue_enfu_fuel_consumed_trns_fuel_diesel,-500000,N/A,1,cb:enfu:fuel_cost:trns:diesel,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,diesel
totalvalue_enfu_fuel_consumed_trns_fuel_electricity,-500000,N/A,1,cb:enfu:fuel_cost:trns:electricity,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,electricity
totalvalue_enfu_fuel_consumed_trns_fuel_gasoline,-500000,N/A,1,cb:enfu:fuel_cost:trns:gasoline,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,gasoline
totalvalue_enfu_fuel_consumed_trns_fuel_hydrocarbon_gas_liquids,-500000,N/A,1,cb:enfu:fuel_cost:trns:hydrocarbon_gas_liquids,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrocarbon_gas_liquids
totalvalue_enfu_fuel_consumed_trns_fuel_hydrogen,-500000,N/A,1,cb:enfu:fuel_cost:trns:hydrogen,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,hydrogen
totalvalue_enfu_fuel_consumed_trns_fuel_kerosene,-500000,N/A,1,cb:enfu:fuel_cost:trns:kerosene,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,kerosene
totalvalue_enfu_fuel_consumed_trns_fuel_natural_gas,-500000,N/A,1,cb:enfu:fuel_cost:trns:natural_gas,Fuel Cost bio fuel_biogas,0,Bias corrected to be half of what they currently show,Costs of electricity and fuels are endogenously calcuated in NemoMod,natural_gas
