"","region","time_period","strategy_id","difference_variable","difference_value","variable","value","future_id"
"102","brazil",11,3023,"change_in_emissions:3029",-0.294792518701678,"cost",424340.706145589,3
"103","brazil",11,3023,"change_in_emissions:3027",-0.254385963385232,"cost",14127169.5331264,1
"104","brazil",11,3023,"change_in_emissions:3027",-0.262805589528757,"cost",14642691.6461409,11
"105","brazil",11,3023,"change_in_emissions:3027",-0.256553139582696,"cost",10679043.9616738,3
"106","brazil",11,3023,"change_in_emissions:3027",-0.259304802971531,"cost",17897168.8273627,7
"107","brazil",11,3023,"change_in_emissions:3027",-0.262611121359878,"cost",27313056.0990886,10
"108","brazil",11,3023,"change_in_emissions:3029",-0.224554618346079,"cost",219235.600528602,2
"109","brazil",11,3023,"change_in_emissions:3025",-4.15935647827327,"cost",512028721.201784,3
"110","brazil",11,3023,"change_in_emissions:3025",-4.22551373490803,"cost",397461620.145419,2
"111","brazil",11,3023,"change_in_emissions:3025",-4.19746214062246,"cost",219779950.540453,8
"112","brazil",11,3023,"change_in_emissions:3025",-4.1472621868357,"cost",183745507.070639,4
"113","brazil",11,3023,"change_in_emissions:3025",-4.25757124107512,"cost",248320354.741915,10
"114","brazil",11,3023,"change_in_emissions:3027",-0.255807151962845,"cost",11200555.4166123,4
"115","brazil",11,3023,"change_in_emissions:3029",-0.325354760307341,"cost",358787.560705546,6
"116","brazil",11,3023,"change_in_emissions:3027",-0.260633783303541,"cost",12411695.6893467,2
"117","brazil",11,3023,"change_in_emissions:3027",-0.261440975232031,"cost",14292736.5338457,5
"118","brazil",11,3023,"change_in_emissions:3025",-4.12422122960259,"cost",264846107.591056,1
"119","brazil",11,3023,"change_in_emissions:3027",-0.258903533775314,"cost",22282033.805813,8
"120","brazil",11,3023,"change_in_emissions:3027",-0.257451327932995,"cost",9718303.61045061,9
"121","brazil",11,3023,"change_in_emissions:3029",-0.279332491273499,"cost",247057.45335247,9
"122","brazil",11,3023,"change_in_emissions:3025",-4.13056982532661,"cost",304378972.788454,6
"123","brazil",11,3023,"change_in_emissions:3029",-0.187172499329137,"cost",313796.550786547,11
"124","brazil",11,3023,"change_in_emissions:3029",-0.307632797759099,"cost",252494.514166984,4
"125","brazil",11,3023,"change_in_emissions:3025",-4.26072404769975,"cost",198785421.007855,11
"126","brazil",11,3023,"change_in_emissions:3029",-0.210660862821311,"cost",261102.614937447,5
"127","brazil",11,3023,"change_in_emissions:3029",-0.247429633789704,"cost",376753.569448531,7
"128","brazil",11,3023,"change_in_emissions:3029",-0.254336462159869,"cost",571330.630020534,8
"129","brazil",11,3023,"change_in_emissions:3027",-0.254777550923699,"cost",18824170.5142411,6
"130","brazil",11,3023,"change_in_emissions:3025",-4.20396769979641,"cost",362542271.90251,7
"131","brazil",11,3023,"change_in_emissions:3025",-4.2386002985043,"cost",288990417.271314,5
"132","brazil",11,3023,"change_in_emissions:3029",-0.190519774122647,"cost",183238.048546843,10
"133","brazil",12,3023,"change_in_emissions:3029",-0.672818138267034,"cost",698486.23391254,1
"134","brazil",12,3023,"change_in_emissions:3027",-0.524788905663885,"cost",45155996.2847454,8
"135","brazil",12,3023,"change_in_emissions:3029",-0.454949861594686,"cost",393811.037221458,2
"136","brazil",12,3023,"change_in_emissions:3025",-8.39655416701204,"cost",373063374.396893,4
"137","brazil",12,3023,"change_in_emissions:3027",-0.525602740603255,"cost",36269813.9366477,7
"138","brazil",12,3023,"change_in_emissions:3027",-0.532702930473135,"cost",29674631.7113189,11
"139","brazil",12,3023,"change_in_emissions:3025",-8.62001830809917,"cost",504179134.229793,10
"140","brazil",12,3023,"change_in_emissions:3027",-0.521843623729179,"cost",19694712.2802458,9
"141","brazil",12,3023,"change_in_emissions:3027",-0.532308513049054,"cost",55352154.1564872,10
"142","brazil",12,3023,"change_in_emissions:3027",-0.529935247521056,"cost",28965329.4657757,5
"143","brazil",12,3023,"change_in_emissions:3027",-0.520021978459845,"cost",21641665.1249053,3
"144","brazil",12,3023,"change_in_emissions:3025",-8.49824841011539,"cost",446228175.630258,8
"145","brazil",12,3023,"change_in_emissions:3029",-0.565926309123599,"cost",443784.009462177,9
"146","brazil",12,3023,"change_in_emissions:3025",-8.42105445442074,"cost",1039587235.94341,3
"147","brazil",12,3023,"change_in_emissions:3025",-8.55507548820481,"cost",806985646.9028,2
"148","brazil",12,3023,"change_in_emissions:3027",-0.518509022095525,"cost",22698498.3578115,4
"149","brazil",12,3023,"change_in_emissions:3025",-8.45055354223839,"cost",526397317.465014,9
"150","brazil",12,3023,"change_in_emissions:3029",-0.426801753266247,"cost",469017.251325544,5
"151","brazil",12,3023,"change_in_emissions:3029",-0.501293365356897,"cost",676757.191871533,7
"152","brazil",12,3023,"change_in_emissions:3029",-0.379215178387606,"cost",563672.824959956,11
"153","brazil",12,3023,"change_in_emissions:3027",-0.516420870540308,"cost",38148055.6722837,6
"154","brazil",12,3023,"change_in_emissions:3025",-8.58158647430387,"cost",586752359.113469,5
"155","brazil",12,3023,"change_in_emissions:3025",-8.3498786491529,"cost",537722350.676902,1
"156","brazil",12,3023,"change_in_emissions:3029",-0.65916323515112,"cost",644478.521803288,6
"157","brazil",12,3023,"change_in_emissions:3029",-0.385996653942952,"cost",329150.409451476,10
"158","brazil",12,3023,"change_in_emissions:3027",-0.528298125291676,"cost",25153209.7936868,2
"159","brazil",12,3023,"change_in_emissions:3029",-0.597247042210591,"cost",762232.573946185,3
"160","brazil",12,3023,"change_in_emissions:3027",-0.515626687671241,"cost",28629339.7953002,1
"161","brazil",12,3023,"change_in_emissions:3029",-0.515286159311898,"cost",1026272.32847091,8
"162","brazil",12,3023,"change_in_emissions:3029",-0.623260285983605,"cost",453548.803917177,4
"163","brazil",12,3023,"change_in_emissions:3025",-8.36273936939974,"cost",617987263.401058,6
"164","brazil",12,3023,"change_in_emissions:3025",-8.62640536623043,"cost",403605679.087951,11
"165","brazil",12,3023,"change_in_emissions:3025",-8.51142736913102,"cost",736084991.148174,7
"166","brazil",13,3023,"change_in_emissions:3025",-13.0848404808255,"cost",767828277.043587,10
"167","brazil",13,3023,"change_in_emissions:3027",-0.791001244972015,"cost",32912823.3078568,3
"168","brazil",13,3023,"change_in_emissions:3027",-0.809717725012601,"cost",84182876.1270422,10
"169","brazil",13,3023,"change_in_emissions:3027",-0.793776136434816,"cost",29952032.3108996,9
"170","brazil",13,3023,"change_in_emissions:3025",-12.9861157708487,"cost",1228967007.88477,2
"171","brazil",13,3023,"change_in_emissions:3027",-0.79950244473236,"cost",55160284.888768,7
"172","brazil",13,3023,"change_in_emissions:3025",-13.0945500707259,"cost",614662865.641269,11
"173","brazil",13,3023,"change_in_emissions:3025",-12.8272283067212,"cost",801641743.443241,9
"174","brazil",13,3023,"change_in_emissions:3025",-12.7823867390727,"cost",1583162177.11316,3
"175","brazil",13,3023,"change_in_emissions:3027",-0.78869659706492,"cost",34519919.4988909,4
"176","brazil",13,3023,"change_in_emissions:3029",-0.762190274231668,"cost",912284.62359517,7
"177","brazil",13,3023,"change_in_emissions:3025",-12.7451441923218,"cost",568126782.206792,4
"178","brazil",13,3023,"change_in_emissions:3029",-0.576588122049333,"cost",759859.165721056,11
"179","brazil",13,3023,"change_in_emissions:3029",-1.02295645540267,"cost",941549.88984982,1
"180","brazil",13,3023,"change_in_emissions:3025",-12.8997302386868,"cost",679559025.936244,8
"181","brazil",13,3023,"change_in_emissions:3027",-0.785515800667221,"cost",58015300.4171605,6
"182","brazil",13,3023,"change_in_emissions:3029",-0.586898561998797,"cost",443710.733335044,10
"183","brazil",13,3023,"change_in_emissions:3027",-0.810318575061669,"cost",45131009.0866303,11
"184","brazil",13,3023,"change_in_emissions:3029",-0.908068783792184,"cost",1027491.58181452,3
"185","brazil",13,3023,"change_in_emissions:3029",-0.947615978450162,"cost",611382.460884068,4
"186","brazil",13,3023,"change_in_emissions:3025",-13.0264169500744,"cost",893575444.524047,5
"187","brazil",13,3023,"change_in_emissions:3029",-0.783463819149822,"cost",1383436.13856935,8
