strategy,strategy_code,comparison_code,include,strategy_specific_costs,entc_enfu_production_cost_factors.csv,entc_air_pollution_cost_factors.csv,trns_air_pollution_cost_factors.csv,trns_congestion_cost_factors.csv,trns_road_safety_cost_factors.csv,trns_passenger_transport_cost_factors.csv,trns_freight_transport_cost_factors.csv,inen_air_pollution_cost_factors.csv,ippu_avoided_production_cost_factors.csv,trww_treatment_cost_factors.csv,trww_treatment_water_pollution_cost_factors.csv,wali_sanitation_cost_factors.csv,waso_waste_management_cost_factors.csv,waso_waste_collection_cost_factors.csv,waso_waste_to_energy_cost_factors.csv,waso_pollution_cost_factors.csv,trww_waste_to_energy_cost_factors.csv,afolu_crop_livestock_production_cost_factors.csv,afolu_ecosystem_services_cost_factors.csv,soil_nitrogen_and_lime_cost_factors.csv
INEN: All Industrial Energy transformations,INEN:ALL,BASE,0,0,,,,,,,,,,,,,,,,,,,,
ENTC: 95% of electricity is generated by renewables in 2050,ENTC:TARGET_RENEWABLE_ELEC,BASE,1,0,1,1,,,,,,,,,,,,,,,,,,
ENTC: Least cost solution,ENTC:LEAST_COST,BASE,1,0,1,1,,,,,,,,,,,,,,,,,,
ENTC: Reduce transmission losses,ENTC:REDUCE_LOSSES,BASE,1,1,1,1,,,,,,,,,,,,,,,,,,
ENTC: Reduce transmission losses with renewable energy production,ENTC:REDUCE_LOSSES_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,1,1,,,,,,,,,,,,,,,,,,
IPPU: Demand management,IPPU:DEC_DEMAND,BASE,1,0,1,1,,,,,,,1,,,,,,,,,,,
IPPU: Reduce cement clinker,IPPU:DEC_CLINKER,BASE,1,1,1,1,,,,,,,,,,,,,,,,,,
IPPU: Reduce fluorinated gasses bundle,IPPU:BUNDLE_DEC_FGAS,BASE,1,1,,,,,,,,,,,,,,,,,,,,
IPPU: Reduce Nitrous Oxide emissions,IPPU:DEC_N2O,BASE,1,1,,,,,,,,,,,,,,,,,,,,
IPPU: Reduce other fluorinated compounds,IPPU:DEC_OTHER_FCS,BASE,1,1,,,,,,,,,,,,,,,,,,,,
IPPU: Reduce use of HFCs,IPPU:DEC_HFCS,BASE,1,1,,,,,,,,,,,,,,,,,,,,
IPPU: Reduce use of PFCs,IPPU:DEC_PFCS,BASE,1,1,,,,,,,,,,,,,,,,,,,,
WALI: Improved industrial wastewater treatment,WALI:INC_TREATMENT_INDUSTRIAL,BASE,1,0,,,,,,,,,,1,1,,,,,,,,,
WALI: Improved rural wastewater treatment,WALI:INC_TREATMENT_RURAL,BASE,1,0,,,,,,,,,,0,0,cb_wali_sanitation_costs,,,,,,,,
WALI: Improved urban wastewater treatment,WALI:INC_TREATMENT_URBAN,BASE,1,0,,,,,,,,,,1,1,cb_wali_sanitation_costs,,,,,,,,
FGTV: Maximize flaring,FGTV:INC_FLARE,BASE,1,1,,,,,,,,,,,,,,,,,,,,
FGTV: Maximize flaring with renewable energy production,FGTV:INC_FLARE_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,,,,,,,,,,,,,,,,,,,,
FGTV: Minimize leaks,FGTV:DEC_LEAKS,BASE,1,1,,,,,,,,,,,,,,,,,,,,
FGTV: Minimize leaks with renewable energy production,FGTV:DEC_LEAKS_REP,ENTC:RENEWABLE_ELEC_TARGET,0,1,,,,,,,,,,,,,,,,,,,,
WASO: Waste reduction,WASO:DEC_MSW_PER_CAPITA,BASE,1,1,,,,,,,,,,,,,1,1,1,1,,,,
WASO: Increase composting and biogas,WASO:INC_ANAEROBIC_AND_COMPOST,BASE,1,0,,,,,,,,,,,,,1,1,1,1,,,,
WASO: Increase landfilling,WASO:INC_LANDFILLING,BASE,1,0,,,,,,,,,,,,,1,1,1,1,,,,
WASO: Increase recycling,WASO:INC_RECYCLING,BASE,1,0,,,,,,,,,,,,,1,1,1,1,,,,
WASO: Biogas for energy production,WASO:INC_ENERGY_FROM_BIOGAS,BASE,1,0,,,,,,,,,,,,,1,1,1,1,,,,
WASO: Incineration for energy production,WASO:INC_ENERGY_FROM_INCINERATION,BASE,1,0,,,,,,,,,,,,,1,1,1,1,,,,
WASO: Increase biogas capture,WASO:INC_CAPTURE_BIOGAS,BASE,1,0,,,,,,,,,,,,,1,1,1,1,,,,
TRWW: Increase biogas capture,TRWW:INC_CAPTURE_BIOGAS,BASE,1,0,,,,,,,,,,,,,,,,,1,,,
CCSQ: Increase direct air capture,CCSQ:INCREASE_CAPTURE,BASE,1,1,,,,,,,,,,,,,,,,,,,,
CCSQ: Increase direct air capture with renewable energy production,CCSQ:INCREASE_CAPTURE_REP,ENTC:RENEWABLE_ELEC_TARGET,1,1,,,,,,,,,,,,,,,,,,,,
LVST: Reduce enteric fermentation,LVST:DEC_ENTERIC_FERMENTATION,BASE,1,1,,,,,,,,,,,,,,,,,,,,
AGRC: Improve rice management,AGRC:DEC_CH4_RICE,BASE,1,1,,,,,,,,,,,,,,,,,,,,
FRST: Stop deforestation,FRST:DEC_DEFORESTATION,BASE,1,0,,,,,,,,,,,,,,,,,,,1,
SOIL: Improve fertilizer application,SOIL:DEC_N_APPLIED,BASE,1,0,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
