"","strategy_code","region","time_period","primary_id","future_id","total_entc_costs","energylost_enfu_transmission_loss_fuel_electricity_pj","entc_total_annnual_production_before_losses","entc_total_annnual_production","entc_cost_per_pj","energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity","energy_demand_enfu_subsector_total_pj_entc_fuel_electricity","energy_demand_enfu_subsector_total_pj_inen_fuel_electricity","energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity","energy_demand_enfu_subsector_total_pj_trns_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_entc_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_inen_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity","entc_cost_energy_demand_enfu_subsector_total_pj_trns_fuel_electricity","total_gas_recovery_value","entc_cost_energy_demand_enfu_subsector_total_pj_residual_fuel_electricity","cost_to_reallocate","total_end_use_consumption","reallocated_cost_energy_demand_enfu_subsector_total_pj_ccsq_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_inen_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_scoe_fuel_electricity_reallocated","reallocated_cost_energy_demand_enfu_subsector_total_pj_trns_fuel_electricity_reallocated"
"1875","PFLO:CHANGE_CONSUMPTION","peru",10,121121,0,2.30710967485948e-06,135.339242024161,1475.97509382665,1340.63585180249,1.72090703956452e-09,0,103.090974207595,100.79432054187,1021.78077624859,1.35634993164672,0,1.77409983229414e-07,1.73457655768627e-07,1.7583897307379e-06,2.33415214548369e-09,0,1.95518152978056e-07,3.7292813620747e-07,1123.93144672211,0,3.34442444951644e-08,3.39033845534197e-07,4.50046178109301e-10
"1876","PFLO:CHANGE_CONSUMPTION","peru",11,121121,0,269740210.251107,139.818315453723,1524.82272091971,1385.00440546599,194757.655056232,0,108.277847730449,105.431759155425,1051.70510762692,2.38350372994151,0,21087939.718518,20533642.181564,204827620.572081,464205.597261192,1805074.09766354,22826802.1816826,42109667.8025371,1159.52037051229,0,3828907.59556949,38194199.8042128,86560.4027548057
"1877","PFLO:CHANGE_CONSUMPTION","peru",12,121121,0,-198987956.532673,144.431365079342,1575.13145807656,1430.70009299722,-139084.324874689,0,114.117024379343,110.070135069615,1082.13178516374,3.52032634046542,0,-15871889.2925093,-15309030.4250232,-150507568.764941,-489622.212402217,3329000.32597206,-16809845.837797,-36010735.4562784,1195.72224657382,0,-3314905.72077772,-32589810.5149589,-106019.220541819
"1878","PFLO:CHANGE_CONSUMPTION","peru",13,121121,0,-274060998.409861,149.114001477504,1626.19909074365,1477.08508926615,-185541.781175261,0,119.997834104146,114.704085496289,1113.04269904169,4.76562526845104,0,-22264611.8768568,-21282400.3310609,-206515924.904316,-884222.60072224,4616678.82604455,-23113838.6969051,-49995129.3998065,1232.51240980643,0,-4652809.61996486,-45149008.9051831,-193310.874658549
"1879","PFLO:CHANGE_CONSUMPTION","peru",14,121121,0,-267635646.021876,153.863456138859,1677.99542626744,1524.13197012858,-175598.735061832,0,125.915717650364,119.329381686676,1144.42313445714,6.11757576811499,0,-22110640.7438067,-20954088.4798908,-200959254.78617,-1074238.5665259,5705567.30623054,-22537423.4454822,-50353631.4955194,1269.87009191193,0,-4731718.42561655,-45379335.3780306,-242577.691872236
"1880","PFLO:CHANGE_CONSUMPTION","peru",15,121121,0,-328364026.86917,158.677467339054,1730.49579886168,1571.81833152263,-208907.111136108,0,131.867229329887,123.942988264235,1176.26134947445,7.57373516215081,0,-27548001.9328294,-25892571.6238579,-245729360.459767,-1582207.13323489,6626916.31897562,-27611885.7194805,-61786803.9712855,1307.77807290084,0,-5855765.04009661,-55573213.0129456,-357825.918243338
"1881","PFLO:CHANGE_CONSUMPTION","peru",16,121121,0,-253888926.753129,163.52914369746,1783.40693801995,1619.87779432249,-156733.383001473,0,137.834323121942,128.566986699904,1208.30736036921,9.13644345358148,0,-21603239.7566202,-20150738.7677814,-189382100.296247,-1431985.69108149,7394596.09279065,-21320862.241399,-50318698.0908098,1346.0107905227,0,-4806293.85273011,-45170851.3003161,-341552.937763593
"1882","PFLO:CHANGE_CONSUMPTION","peru",17,121121,0,-283829667.97341,168.445561305705,1837.02412865949,1668.57856735379,-170102.669138043,0,143.837291000934,133.18557241104,1240.80927273836,10.7985837930565,0,-24467107.1208442,-22655221.357796,-211064969.184029,-1836867.92610972,8040581.19763912,-23805502.384632,-56313190.7031153,1384.79342894246,0,-5416045.73023875,-50458016.1499399,-439128.822936688
"1883","PFLO:CHANGE_CONSUMPTION","peru",18,121121,0,-318491652.742205,173.42557008737,1891.33482834158,1717.90925825421,-185394.921886542,0,149.87547928034,137.798259020472,1273.76186820861,12.5561069359955,0,-27786152.7738866,-25547097.4672018,-236148982.05859,-2327838.46459795,8583401.39765019,-26681581.9779285,-63051136.1494653,1424.11623416508,0,-6100862.12222194,-56394366.5886958,-555907.438547555
"1884","PFLO:CHANGE_CONSUMPTION","peru",19,121121,0,-354330800.509782,178.468225454892,1946.32873563629,1767.8605101814,-200429.161955444,0,155.948847196402,142.404861044758,1307.16149184612,14.4043914570563,0,-31256696.7514925,-28542086.9575823,-261993282.351146,-2887060.10821595,9038523.5592846,-29651674.3413455,-69946894.6521226,1463.97074434793,0,-6803945.94762511,-62454722.8942041,-688225.810293374
