,x,,
219,qty_waso_open_dump_metal_tonne,,
220,qty_waso_open_dump_nappies_tonne,,
221,qty_waso_open_dump_other_tonne,,
222,qty_waso_open_dump_paper_tonne,,
223,qty_waso_open_dump_plastic_tonne,,
224,qty_waso_open_dump_rubber_leather_tonne,,
225,qty_waso_open_dump_sludge_tonne,,
226,qty_waso_open_dump_textiles_tonne,,
227,qty_waso_open_dump_wood_tonne,,
228,qty_waso_open_dump_yard_tonne,,
229,qty_waso_recycled_glass_tonne,,
230,qty_waso_recycled_metal_tonne,,
231,qty_waso_recycled_paper_tonne,,
232,qty_waso_recycled_plastic_tonne,,
233,qty_waso_recycled_rubber_leather_tonne,,
234,qty_waso_recycled_textiles_tonne,,
235,qty_waso_recycled_wood_tonne,,
236,qty_waso_total_food_produced_tonne,,
237,totalvalue_enfu_fuel_consumed_ccsq_fuel_electricity,,
238,totalvalue_enfu_fuel_consumed_ccsq_fuel_hydrogen,,
239,totalvalue_enfu_fuel_consumed_ccsq_fuel_natural_gas,,
240,totalvalue_enfu_fuel_consumed_entc_fuel_biofuels,,
241,totalvalue_enfu_fuel_consumed_entc_fuel_biogas,,
242,totalvalue_enfu_fuel_consumed_entc_fuel_biomass,,
243,totalvalue_enfu_fuel_consumed_entc_fuel_coal,,
244,totalvalue_enfu_fuel_consumed_entc_fuel_coke,,
245,totalvalue_enfu_fuel_consumed_entc_fuel_diesel,,
246,totalvalue_enfu_fuel_consumed_entc_fuel_electricity,,
247,totalvalue_enfu_fuel_consumed_entc_fuel_gasoline,,
248,totalvalue_enfu_fuel_consumed_entc_fuel_hydrocarbon_gas_liquids,,
249,totalvalue_enfu_fuel_consumed_entc_fuel_hydrogen,,
250,totalvalue_enfu_fuel_consumed_entc_fuel_kerosene,,
251,totalvalue_enfu_fuel_consumed_entc_fuel_natural_gas,,
252,totalvalue_enfu_fuel_consumed_entc_fuel_nuclear,,
253,totalvalue_enfu_fuel_consumed_entc_fuel_oil,,
254,totalvalue_enfu_fuel_consumed_entc_fuel_other,,
255,totalvalue_enfu_fuel_consumed_entc_fuel_waste,,
256,totalvalue_enfu_fuel_consumed_inen_fuel_biomass,,
257,totalvalue_enfu_fuel_consumed_inen_fuel_coal,,
258,totalvalue_enfu_fuel_consumed_inen_fuel_coke,,
259,totalvalue_enfu_fuel_consumed_inen_fuel_diesel,,
260,totalvalue_enfu_fuel_consumed_inen_fuel_electricity,,
261,totalvalue_enfu_fuel_consumed_inen_fuel_gasoline,,
262,totalvalue_enfu_fuel_consumed_inen_fuel_hydrocarbon_gas_liquids,,
263,totalvalue_enfu_fuel_consumed_inen_fuel_hydrogen,,
264,totalvalue_enfu_fuel_consumed_inen_fuel_kerosene,,
265,totalvalue_enfu_fuel_consumed_inen_fuel_natural_gas,,
266,totalvalue_enfu_fuel_consumed_inen_fuel_oil,,
267,totalvalue_enfu_fuel_consumed_scoe_fuel_biomass,,
268,totalvalue_enfu_fuel_consumed_scoe_fuel_coal,,
269,totalvalue_enfu_fuel_consumed_scoe_fuel_diesel,,
270,totalvalue_enfu_fuel_consumed_scoe_fuel_electricity,,
271,totalvalue_enfu_fuel_consumed_scoe_fuel_gasoline,,
272,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrocarbon_gas_liquids,,
273,totalvalue_enfu_fuel_consumed_scoe_fuel_hydrogen,,
274,totalvalue_enfu_fuel_consumed_scoe_fuel_kerosene,,
275,totalvalue_enfu_fuel_consumed_scoe_fuel_natural_gas,,
276,totalvalue_enfu_fuel_consumed_trns_fuel_biofuels,,
277,totalvalue_enfu_fuel_consumed_trns_fuel_diesel,,
278,totalvalue_enfu_fuel_consumed_trns_fuel_electricity,,
279,totalvalue_enfu_fuel_consumed_trns_fuel_gasoline,,
280,totalvalue_enfu_fuel_consumed_trns_fuel_hydrocarbon_gas_liquids,,
281,totalvalue_enfu_fuel_consumed_trns_fuel_hydrogen,,
282,totalvalue_enfu_fuel_consumed_trns_fuel_kerosene,,
283,totalvalue_enfu_fuel_consumed_trns_fuel_natural_gas,,
284,vehicle_distance_traveled_trns_powered_bikes,,
285,vehicle_distance_traveled_trns_public,,
286,vehicle_distance_traveled_trns_public_electricity,,
287,vehicle_distance_traveled_trns_rail_passenger,,
288,vehicle_distance_traveled_trns_road_heavy_freight_electricity,,
289,vehicle_distance_traveled_trns_road_heavy_regional,,
290,vehicle_distance_traveled_trns_road_heavy_regional_electricity,,
291,vehicle_distance_traveled_trns_road_light,,
292,vehicle_distance_traveled_trns_road_light_electricity,,
293,vol_trww_ww_treated_advanced_aerobic_m3,,
294,vol_trww_ww_treated_advanced_anaerobic_m3,,
295,vol_trww_ww_treated_primary_m3,,
296,vol_trww_ww_treated_secondary_aerobic_m3,,
297,vol_trww_ww_treated_secondary_anaerobic_m3,,
298,vol_trww_ww_untreated_with_sewerage_m3,,
299,yield_agrc_bevs_and_spices_tonne,,
